study_id,source_type,locator
study_03,osf,gtyaj
study_05,osf,tvgky
study_06,osf,zcqjr
study_10,osf,j8qph
study_13,osf,my6dj
study_14,osf,g5qdz
study_18,osf,9f5mb
study_20,psycharchives,10.23668/psycharchives.2621
study_21,osf,mh9pe
study_22,osf,dzpxs
study_26,osf,rnpz2
study_27,osf,rvcmy
study_29,osf,ptvg4
study_30,osf,7jj5t
study_33,osf,k4vcy
study_35,osf,ymezx
study_37,osf,wabvs
study_39,osf,wdu5k
study_40,osf,a6gbn
study_41,osf,7naj9
study_43,osf,wc3kh
study_44,osf,qxs2m
study_45,osf,z5xj8
study_47,osf,7txp2
study_49,osf,54qgs
study_51,osf,96fbr
study_53,osf,rhzc8
study_55,osf,kw9n7
study_60,osf,u2rnp
