university,enrollment,first.gen,year,num.courses,faculty,race,other.race,alcohol,social.network,sleep,enough.sleep,exercise,diet,GPA.range,gender,age,disability,PSS_1,PSS_2,PSS_3,PSS_4,PSS_5,PSS_6,PSS_7,PSS_8,PSS_9,PSS_10,RSES_1,RSES_2,RSES_3,RSES_4,RSES_5,RSES_6,RSES_7,RSES_8,RSES_9,RSES_10,GSE_1,GSE_2,GSE_3,GSE_4,GSE_5,GSE_6,GSE_7,GSE_8,GSE_9,GSE_10,LOTR_1,LOTR_3,LOTR_4,LOTR_7,LOTR_9,LOTR_10,SWLS_1,SWLS_2,SWLS_3,SWLS_4,SWLS_5,GSQA_1,GSQA_2,GSQA_3,GSQA_4,GSQA_5,GSQA_6,GSQA_7,GSQB_1,GSQB_2,GSQB_3,GSQB_4,GSQB_5,GSQB_6,GSQB_7,GSQC_1,GSQC_2,GSQC_3,GSQC_4,GSQC_5,GSQC_6,GSQC_7,PSS.total,RSES.total,GSE.total,LOTR.total,SWLS.total,GHQ.total,PSS.help,PSS.eff,GHQa.total,QHQb.total,GHQc.total,replicate,living,covid.test,phys.class,online.class
1,1,2,1,6,2,6,,1,4,2,2,1,2,,female,19,2,3,3,4,2,2,3,2,2,3,3,3,3,2,3,2,2,3,1,1,1,3,3,3,3,3,3,2,3,3,3,3,1,1,2,1,2,5,3,3,2,3,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,27,21,29,10,24,14,8,19,1,6,7,a,,,,
1,1,2,1,6,6,6,,1,2,2,2,3,4,,female,18,2,3,1,2,3,2,1,3,1,3,1,1,1,0,1,0,2,1,0,0,0,3,3,2,2,3,3,2,2,3,3,0,1,1,0,0,0,7,7,7,7,7,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,20,6,26,2,5,16,9,11,5,4,7,a,,,,
1,1,2,1,6,3,6,,2,3,2,2,1,1,,female,19,1,3,4,4,3,3,3,2,3,3,3,2,3,0,2,1,2,1,0,0,0,3,3,2,1,1,3,1,2,2,1,1,0,1,1,1,1,5,5,5,4,4,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,11,19,5,17,18,11,20,4,7,7,a,,,,
1,1,1,2,6,13,6,,2,4,3,1,1,2,3,male,19,2,3,3,4,2,3,1,2,2,3,3,4,4,3,4,2,3,2,2,1,1,3,3,2,3,3,3,3,3,4,4,1,0,2,1,1,1,2,3,3,5,6,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,26,26,31,6,21,15,9,17,5,6,4,a,,,,
1,1,2,1,6,3,7,,1,3,3,2,1,2,,female,19,1,3,4,4,1,3,4,1,3,3,3,2,2,0,1,1,2,1,0,0,0,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,4,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,9,18,10,17,21,8,21,7,7,7,a,,,,
1,1,2,1,6,3,5,,1,3,3,2,1,1,,female,19,2,3,3,4,2,2,3,2,1,3,3,3,3,2,3,2,3,3,1,1,1,3,3,3,3,3,3,2,3,3,3,1,1,3,1,1,2,5,3,3,5,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26,22,29,9,23,17,7,19,4,7,6,a,,,,
1,1,2,1,6,6,6,,2,4,3,2,1,3,,female,19,2,2,2,3,1,2,3,2,2,3,2,2,2,1,3,1,3,3,1,1,1,3,3,4,4,4,3,3,4,4,4,2,3,2,2,3,1,4,5,6,7,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,22,18,36,13,12,14,7,15,6,7,1,a,,,,
1,1,2,1,6,1,6,,1,1,3,1,1,2,,female,18,2,2,2,4,1,2,2,2,2,2,2,4,4,2,4,2,3,3,2,1,2,4,3,4,3,3,3,2,3,3,3,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,21,27,31,11,30,9,7,14,2,2,5,a,,,,
1,1,1,1,6,1,6,,2,3,3,2,1,2,,female,18,2,2,2,3,0,1,3,2,2,3,3,3,3,2,3,2,3,3,1,2,2,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,21,24,40,10,31,7,5,16,1,0,6,a,,,,
1,1,2,1,6,3,"1,6",,1,2,2,2,2,2,,female,18,2,3,3,4,2,3,4,3,4,2,4,2,2,1,2,1,2,2,1,1,1,3,2,2,3,3,4,2,3,3,3,0,1,1,1,3,2,6,6,6,4,7,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,32,15,28,8,11,16,12,20,3,7,6,a,,,,
