,SubjID,h1_demo_age_nontrad1,h1_demo_gender_male1,h1_demo_ethn_Lat1,h1_demo_ethn_Afr1,h1_demo_ethn_Asn1,h1_demo_ethn_Euro1,h1_demo_ethn_MENA1,h1_demo_ethn_Other1,h1_demo_parents_y_1,h1_demo_addl_lang_EngOther1,h1_demo_first_semest1,h1_regents_avg,h1_ESSES_avg,h1_textbook_y_1,h1_blackboard_y_1,synchronous1,section,HUMAN_attn,HUMAN_work,HUMAN_course,HUMAN_mental,HUMAN_sleep,HUMAN_family,HUMAN_tech,HUMAN_instr,HUMAN_disrupt,Attrition,Section.Type,GPA,h1_ESSES_Read_1,h1_ESSES_Read_2,h1_ESSES_Read_3,h1_ESSES_Read_4_reverse,h1_ESSES_Read_avg,h1_ESSES_Research_1,h1_ESSES_Research_2,h1_ESSES_Research_3,h1_ESSES_Research_4_reverse,h1_ESSES_Research_5,h1_ESSES_Research_avg,h1_ESSES_IL_1,h1_ESSES_IL_2_reverse,h1_ESSES_IL_3_reverse,h1_ESSES_IL_4,h1_ESSES_IL_avg,h1_ESSES_Tech_1,h1_ESSES_Tech_2,h1_ESSES_Tech_3_reverse,h1_ESSES_Tech_4,h1_ESSES_Tech_5,h1_ESSES_Tech_avg,h1_regents_correct1_1,h1_regents_correct1_2,h1_regents_correct1_3,h1_regents_correct1_4,h1_regents_correct1_5,h1_regents_correct1_6
1,SG9762,0,0,1,0,0,0,0,0,0,1,0,0.333333333,4.333333333,1,1,1,SG,0,0,0,0,0,1,0,1,0,0,regular,3,5,4,4,4,4.25,3,4,4,4,4,3.8,5,4,4,6,4.75,5,4,4,5,5,4.6,0,1,0,1,0,0
2,SG9983,0,1,1,0,0,0,0,0,1,1,0,0.5,3.833333333,1,1,1,SG,0,0,0,1,0,1,1,1,0,0,regular,1,4,5,4,3,4,4,3,4,3,5,3.8,5,3,4,5,4.25,4,2,3,6,2,3.4,0,1,1,1,0,0
3,SG8117,0,0,0,0,0,0,1,0,0,1,0,0.833333333,4.055555556,0,1,1,SG,1,0,0,0,0,0,1,1,0,0,regular,4,5,4,4,3,4,4,4,5,2,5,4,5,3,3,4,3.75,5,4,3,6,4,4.4,1,1,1,1,1,0
4,SG0876,0,0,0,1,0,0,0,0,1,0,0,1,3.388888889,1,1,1,SG,0,1,0,0,1,0,0,1,1,0,regular,3,3,4,4,4,3.75,3,3,4,3,3,3.2,3,4,3,4,3.5,3,3,3,4,3,3.2,1,1,1,1,1,1
5,SG4197,0,0,0,0,0,1,0,0,1,0,0,1,4.777777778,1,1,1,SG,1,0,0,0,0,1,0,1,0,0,regular,0,6,6,6,5,5.75,5,5,5,5,5,5,5,2,3,6,4,5,5,2,5,5,4.4,1,1,1,1,1,1
6,SG6789,0,0,0,0,0,0,0,1,1,1,0,0.833333333,4.111111111,1,1,1,SG,0,1,0,0,0,1,1,0,1,0,regular,4,5,5,4,4,4.5,4,4,4,4,3,3.8,5,4,4,4,4.25,4,4,4,4,4,4,1,0,1,1,1,1
7,SG9356,1,0,0,0,0,1,0,0,0,1,0,0.833333333,4.333333333,1,0,1,SG,0,1,0,0,1,0,1,0,0,1,regular,NA,5,4,4,5,4.5,4,4,3,4,4,3.8,5,6,5,2,4.5,4,5,5,6,3,4.6,1,1,1,1,0,1
8,SG1776,0,0,0,0,0,0,0,1,0,0,0,0.666666667,4.611111111,1,1,1,SG,0,0,1,1,1,1,1,0,1,1,regular,NA,5,5,1,2,3.25,6,6,6,5,6,5.8,6,5,2,5,4.5,4,5,4,5,5,4.6,0,1,1,1,0,1
9,SG1615,0,0,0,0,0,0,1,0,1,1,0,0.833333333,3.555555556,0,1,1,SG,0,1,0,0,0,1,0,0,1,0,regular,4,4,4,1,3,3,4,4,4,4,4,4,3,3,3,4,3.25,4,4,4,3,4,3.8,1,1,1,1,0,1
10,SG2421,0,0,0,0,0,1,0,0,0,0,0,0.166666667,2.222222222,1,1,1,SG,1,0,0,1,1,0,1,0,0,1,regular,NA,5,1,2,1,2.25,1,1,1,1,2,1.2,2,3,3,2,2.5,4,3,1,4,3,3,0,1,0,0,0,0
11,SG2160,0,0,0,0,0,0,1,0,0,1,0,1,5.166666667,1,1,1,SG,1,1,0,0,0,1,1,0,1,0,regular,4,6,6,6,6,6,5,4,5,5,5,4.8,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1
12,SG6140,0,1,0,0,0,0,1,0,1,1,0,1,4.333333333,1,1,1,SG,1,0,0,0,0,0,1,0,0,0,regular,4,6,5,4,3,4.5,5,4,4,5,4,4.4,4,4,3,4,3.75,5,4,5,5,4,4.6,1,1,1,1,1,1
13,SG2342,0,1,0,1,0,0,0,0,1,0,0,0.666666667,4.111111111,1,0,1,SG,1,1,0,0,0,0,0,0,0,0,regular,4,5,5,1,5,4,4,5,5,3,5,4.4,5,5,4,5,4.75,5,4,3,3,2,3.4,0,0,1,1,1,1
14,SG1398,0,1,0,0,0,1,0,0,1,1,0,0.666666667,4.222222222,1,1,1,SG,0,0,0,0,0,0,1,0,0,0,regular,3.3,5,5,4,2,4,5,5,5,3,4,4.4,5,2,2,5,3.5,5,5,4,5,5,4.8,0,1,1,1,0,1
15,SG6198,0,0,0,0,0,0,1,0,1,1,0,1,4.166666667,1,1,1,SG,0,0,0,1,1,1,0,0,0,0,regular,3.3,5,5,4,4,4.5,5,5,5,4,4,4.6,4,4,4,4,4,4,3,3,4,4,3.6,1,1,1,1,1,1
16,SG0609,0,0,0,1,0,0,0,0,0,0,0,0.666666667,4.055555556,1,1,1,SG,0,1,0,0,1,0,0,0,0,0,regular,3.7,5,5,5,5,5,2,4,4,5,3,3.6,5,3,3,2,3.25,5,4,5,4,4,4.4,0,1,1,0,1,1
17,SG4543,0,1,0,1,0,0,0,0,1,0,0,0.833333333,3.333333333,0,1,1,SG,0,0,1,0,0,0,0,0,0,1,regular,NA,4,4,2,2,3,5,4,5,4,4,4.4,3,3,2,4,3,5,2,1,3,3,2.8,1,1,1,0,1,1
18,SG6375,0,0,0,1,0,0,0,0,0,0,0,0.666666667,4.333333333,1,1,1,SG,0,0,0,0,0,0,0,0,0,0,regular,4,5,5,4,3,4.25,4,5,5,3,5,4.4,5,4,3,4,4,4,5,4,5,5,4.6,1,1,1,1,0,0
19,SG1210,0,1,0,0,0,1,0,0,1,1,0,1,4.166666667,1,1,1,SG,0,0,0,0,1,0,0,0,1,0,regular,4,4,5,4,5,4.5,2,4,4,4,4,3.6,5,5,5,4,4.75,3,4,3,6,4,4,1,1,1,1,1,1
20,SG2734,0,1,0,0,0,1,0,0,1,0,0,0.333333333,4.222222222,1,1,1,SG,1,0,0,0,0,0,0,0,0,0,regular,2,4,5,4,3,4,5,5,5,2,5,4.4,5,5,5,4,4.75,4,4,3,4,4,3.8,0,0,0,0,1,1
21,SG5957,0,0,0,0,0,0,1,0,1,1,0,1,3.777777778,1,1,1,SG,0,0,0,0,1,0,1,0,0,0,regular,4,5,5,4,3,4.25,3,2,3,3,4,3,5,5,4,4,4.5,4,3,3,4,4,3.6,1,1,1,1,1,1
22,SG7709,0,1,0,0,0,0,1,0,0,1,0,0.5,4.277777778,1,1,1,SG,0,0,0,0,0,0,1,0,0,0,regular,4,6,5,4,5,5,4,4,5,4,4,4.2,4,3,4,4,3.75,5,4,4,5,3,4.2,1,0,1,0,1,0
23,SG3057,0,0,0,0,0,1,0,0,0,0,0,1,4.555555556,1,1,1,SG,0,0,0,1,0,0,1,0,0,0,regular,3.7,5,4,2,3,3.5,6,5,6,5,6,5.6,2,3,2,6,3.25,3,6,6,6,6,5.4,1,1,1,1,1,1
24,SG3264,0,0,0,0,0,1,0,0,0,0,0,1,5,1,1,1,SG,0,0,0,1,0,1,1,1,0,0,regular,4,5,5,5,5,5,4,6,6,3,5,4.8,5,4,3,5,4.25,6,6,5,6,6,5.8,1,1,1,1,1,1
25,SG7880,0,0,1,0,0,1,0,0,0,1,0,1,4.333333333,1,1,1,SG,1,0,0,0,0,0,0,0,0,0,regular,0,5,5,2,5,4.25,4,5,5,5,3,4.4,4,4,3,3,3.5,5,4,5,6,5,5,1,1,1,1,1,1
26,SG0182,0,0,1,0,0,0,0,0,0,1,0,1,3.666666667,1,1,1,SG,0,1,0,1,0,0,1,0,0,0,regular,3.3,5,3,2,3,3.25,2,2,4,3,4,3,4,4,4,4,4,3,4,5,5,5,4.4,1,1,1,1,1,1
27,SG4071,0,0,0,1,0,0,0,0,0,1,0,1,4.722222222,1,1,1,SG,1,1,0,0,0,1,0,0,0,0,regular,3.3,5,5,4,3,4.25,5,4,5,5,4,4.6,5,5,2,5,4.25,6,5,5,6,6,5.6,1,1,1,1,1,1
28,SG0032,0,1,1,0,0,0,0,0,0,1,0,1,4.777777778,1,1,1,SG,0,0,0,0,0,0,0,0,0,0,regular,4,4,5,5,4,4.5,5,5,5,5,5,5,6,5,4,5,5,5,5,3,6,4,4.6,1,1,1,1,1,1
29,SG8181,0,0,0,0,0,1,0,0,0,0,0,0.333333333,5.166666667,0,1,1,SG,0,0,0,0,0,0,0,0,0,0,regular,2.7,6,6,6,6,6,6,6,6,1,6,5,6,4,4,4,4.5,6,6,6,4,4,5.2,0,1,0,0,1,0
