Condition,Final Test Score,Attempts,AttemptAvSD,,,Mastery,One,Two,Three,
mastery,10,2,3.289473684,,n,38,38,40,38,154
mastery,10,2,1.412452242,,mean,9.473684211,7.447368421,6.575,7.105263158,
mastery,8,4,,,sd,1.006380781,1.703690246,1.7958285,2.251599716,
mastery,10,2,,,,,,,,
mastery,9,2,,,,,,,,
mastery,10,3,,,,,,,,
mastery,10,4,,,,,,,,
mastery,10,4,,,,,,,,
mastery,10,4,,,,,,,,
mastery,9,2,,,,,,,,
mastery,10,2,,,,,,,,
mastery,10,2,,,,,,,,
mastery,9,3,,,,,,,,
mastery,10,4,,,,,,,,
mastery,10,4,,,,,,,,
mastery,9,4,,,,,,,,
mastery,10,2,,,,,,,,
mastery,8,4,,,,,,,,
mastery,10,3,,,,,,,,
mastery,10,2,,,,,,,,
mastery,10,6,,,,,,,,
mastery,10,5,,,,,,,,
mastery,10,2,,,,,,,,
mastery,6,2,,,,,,,,
mastery,10,3,,,,,,,,
mastery,10,4,,,,,,,,
mastery,9,3,,,,,,,,
mastery,10,2,,,,,,,,
mastery,10,7,,,,,,,,
mastery,10,1,,,,,,,,
mastery,10,5,,,,,,,,
mastery,10,4,,,,,,,,
mastery,9,2,,,,,,,,
mastery,6,1,,,,,,,,
mastery,9,5,,,,,,,,
mastery,10,5,,,,,,,,
mastery,10,4,,,,,,,,
mastery,9,5,,,,,,,,
three,10,3,,,,,,,,
three,10,3,,,,,,,,
three,10,3,,,,,,,,
three,10,3,,,,,,,,
three,10,3,,,,,,,,
three,10,3,,,,,,,,
three,9,3,,,,,,,,
three,9,3,,,,,,,,
three,9,3,,,,,,,,
three,9,3,,,,,,,,
three,8,3,,,,,,,,
three,8,3,,,,,,,,
three,8,3,,,,,,,,
three,7,3,,,,,,,,
three,6,3,,,,,,,,
three,8,3,,,,,,,,
three,6,3,,,,,,,,
three,8,3,,,,,,,,
three,6,3,,,,,,,,
three,6,3,,,,,,,,
three,4,3,,,,,,,,
three,8,3,,,,,,,,
three,6,3,,,,,,,,
three,7,3,,,,,,,,
three,8,3,,,,,,,,
three,7,3,,,,,,,,
three,9,3,,,,,,,,
three,9,3,,,,,,,,
three,7,3,,,,,,,,
three,4,3,,,,,,,,
three,6,3,,,,,,,,
three,5,3,,,,,,,,
three,3,3,,,,,,,,
three,4,3,,,,,,,,
three,6,3,,,,,,,,
three,4,3,,,,,,,,
three,5,3,,,,,,,,
three,1,3,,,,,,,,
two,10,2,,,,,,,,
two,9,2,,,,,,,,
two,9,2,,,,,,,,
two,8,2,,,,,,,,
two,8,2,,,,,,,,
two,9,2,,,,,,,,
two,7,2,,,,,,,,
two,9,2,,,,,,,,
two,9,2,,,,,,,,
two,7,2,,,,,,,,
two,6,2,,,,,,,,
two,5,2,,,,,,,,
two,7,2,,,,,,,,
two,5,2,,,,,,,,
two,6,2,,,,,,,,
two,9,2,,,,,,,,
two,6,2,,,,,,,,
two,6,2,,,,,,,,
two,5,2,,,,,,,,
two,7,2,,,,,,,,
two,5,2,,,,,,,,
two,6,2,,,,,,,,
two,6,2,,,,,,,,
two,8,2,,,,,,,,
two,8,2,,,,,,,,
two,7,2,,,,,,,,
two,5,2,,,,,,,,
two,8,2,,,,,,,,
two,8,2,,,,,,,,
two,5,2,,,,,,,,
two,4,2,,,,,,,,
two,5,2,,,,,,,,
two,4,2,,,,,,,,
two,2,2,,,,,,,,
two,4,2,,,,,,,,
two,6,2,,,,,,,,
two,6,2,,,,,,,,
two,8,2,,,,,,,,
two,6,2,,,,,,,,
two,5,2,,,,,,,,
one,10,1,,,,,,,,
one,10,1,,,,,,,,
one,10,1,,,,,,,,
one,10,1,,,,,,,,
one,10,1,,,,,,,,
one,10,1,,,,,,,,
one,9,1,,,,,,,,
one,9,1,,,,,,,,
one,8,1,,,,,,,,
one,9,1,,,,,,,,
one,8,1,,,,,,,,
one,8,1,,,,,,,,
one,8,1,,,,,,,,
one,8,1,,,,,,,,
one,6,1,,,,,,,,
one,8,1,,,,,,,,
one,7,1,,,,,,,,
one,7,1,,,,,,,,
one,8,1,,,,,,,,
one,7,1,,,,,,,,
one,7,1,,,,,,,,
one,5,1,,,,,,,,
one,7,1,,,,,,,,
one,6,1,,,,,,,,
one,8,1,,,,,,,,
one,8,1,,,,,,,,
one,7,1,,,,,,,,
one,8,1,,,,,,,,
one,7,1,,,,,,,,
one,7,1,,,,,,,,
one,5,1,,,,,,,,
one,8,1,,,,,,,,
one,5,1,,,,,,,,
one,5,1,,,,,,,,
one,6,1,,,,,,,,
one,4,1,,,,,,,,
one,4,1,,,,,,,,
one,6,1,,,,,,,,
