study_id,claim_id,source,n_seeds,central,lower,upper,dispersion_log10,mcmc_rhat,converged,bridge_span_log10,wave,evidence_category,distance_to_threshold,minimum_distance_to_threshold,category_stable,magnitude_reliable,verdict,stability_interpretation
study_37,study_37_claim_02,bridge_sampling,NA,0.4637508567040772,0.4565551198328245,0.47094659357532986,0.003597868435626332,NA,TRUE,0.009330916146547463,Wave 2,Inconclusive,0.013370398015585261,0.006174661144332572,TRUE,TRUE,Borderline,Category stable but the spread reaches near a threshold
study_43,study_43_claim_01,bridge_sampling,NA,0.37008394519729554,0.3688771372571948,0.3712907531373963,6.034039700503753e-4,NA,TRUE,0.0015579571347710264,Wave 2,Inconclusive,0.1070373095223669,0.10583050158226615,TRUE,TRUE,Stable,Category and magnitude stable
study_39,study_39_claim_02,reseed_gibbs,20,0.5854918489942532,0.5031739429554539,0.693066434030057,0.04253023118926997,1.0011331149043066,TRUE,NA,Wave 3,H1,0.10837059427459078,0.026052688235791488,TRUE,TRUE,Borderline,Category stable but the spread reaches near a threshold
study_35,study_35_claim_01,montecarlo_bayesfactor,NA,0.7377419525695113,0.7047793904629749,0.7707045146760476,0.016481281053268158,NA,TRUE,NA,Wave 2,H1,0.2606206978498488,0.22765813574331245,TRUE,TRUE,Stable,Category and magnitude stable
study_20,study_20_claim_01,analytic,NA,0.20660595502903045,0.20660595502903045,0.20660595502903045,0,NA,TRUE,NA,Wave 3,Inconclusive,0.270515299690632,0.270515299690632,TRUE,TRUE,Analytic (exact),Closed-form Bayes factor; no Monte Carlo error
study_40,study_40_claim_01,mcmc_convergence,NA,0.18655189797341384,0.18655189797341384,0.18655189797341384,NA,1.00041655440969,TRUE,NA,Wave 3,Inconclusive,0.2905693567462486,0.2905693567462486,TRUE,NA,Stable,Category and magnitude stable
study_47,study_47_claim_02,montecarlo_bayesfactor,NA,-0.16351771165074327,-0.21207118151765383,-0.11496424178383272,0.024276734933455283,NA,TRUE,NA,Wave 2,Inconclusive,0.31360354306891913,0.2650500732020086,TRUE,TRUE,Stable,Category and magnitude stable
study_60,study_60_claim_01,montecarlo_bayesfactor,NA,0.10567878602807554,0.060423269937131,0.1509343021190201,0.02262775804547227,NA,TRUE,NA,Wave 2,Inconclusive,0.3714424686915869,0.32618695260064234,TRUE,TRUE,Stable,Category and magnitude stable
study_20,study_20_claim_02,analytic,NA,-0.956984806515284,-0.956984806515284,-0.956984806515284,0,NA,TRUE,NA,Wave 3,H0,0.4798635517956215,0.4798635517956215,TRUE,TRUE,Analytic (exact),Closed-form Bayes factor; no Monte Carlo error
study_39,study_39_claim_01,reseed_gibbs,20,1.2638469230760363,1.1807175540924095,1.3384839848363708,0.03396121435613503,1.0003307989366443,TRUE,NA,Wave 3,H1,0.7867256683563739,0.7035962993727471,TRUE,TRUE,Stable,Category and magnitude stable
study_37,study_37_claim_01,bridge_sampling,NA,1.4003005658535437,1.3927211332627185,1.4078799984443688,0.0037897162954126113,NA,TRUE,0.009047653199632633,Wave 2,H1,0.9231793111338813,0.9155998785430561,TRUE,TRUE,Stable,Category and magnitude stable
study_03,study_03_claim_01,analytic,NA,-1.7627692869191516,-1.7627692869191516,-1.7627692869191516,0,NA,TRUE,NA,Wave 3,H0,1.2856480321994892,1.2856480321994892,TRUE,TRUE,Analytic (exact),Closed-form Bayes factor; no Monte Carlo error
